かんかん	副詞	*	*	*	*	*	カンカン	かんかん	かんかん	カンカン	カンカン	和	かんかん	カンカン	カンカン	カンカン	*	*	*	*	*	*	"1	0"	*	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
荷船	名詞	普通名詞	一般	*	*	*	ニブネ	荷船	荷船	ニブネ	ニブネ	和	荷船	ニブネ	ニブネ	ニブネ	*	*	*	*	*	*	"1	2"	C1	*
オデッサ	名詞	固有名詞	地名	一般	*	*	オデッサ	オデッサ-Odessa	オデッサ	オデッサ	オデッサ	固	オデッサ	オデッサ	オデッサ	オデッサ	*	*	*	*	*	*	2	*	*
丸	接尾辞	名詞的	一般	*	*	*	マル	丸	丸	マル	マル	和	丸	マル	マル	マル	*	*	*	*	*	*	*	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
舷	名詞	普通名詞	一般	*	*	*	ゲン	舷	舷	ゲン	ゲン	漢	舷	ゲン	ゲン	ゲン	*	*	*	*	*	*	1	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
ぴったり	副詞	*	*	*	*	*	ピッタリ	ぴったり	ぴったり	ピッタリ	ピッタリ	和	ぴったり	ピッタリ	ピッタリ	ピッタリ	*	*	*	*	*	*	3	*	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
繋っ	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	カカル	掛かる	繋っ	カカッ	カカッ	和	繋る	カカル	カカル	カカル	*	*	*	*	*	*	2	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
ある	動詞	非自立可能	*	*	文語ラ行変格	連体形-一般	アル	有る	ある	アル	アル	和	あり	アリ	アリ	アリ	*	*	*	*	*	*	1	C3	*
大	接頭辞	*	*	*	*	*	ダイ	大	大	ダイ	ダイ	漢	大	ダイ	ダイ	ダイ	*	*	*	*	*	*	*	P2	*
運搬	名詞	普通名詞	サ変可能	*	*	*	ウンパン	運搬	運搬	ウンパン	ウンパン	漢	運搬	ウンパン	ウンパン	ウンパン	*	*	*	*	*	*	0	C2	*
船	接尾辞	名詞的	一般	*	*	*	セン	船	船	セン	セン	漢	船	セン	セン	セン	*	*	*	*	*	*	*	C4	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
舷	名詞	普通名詞	一般	*	*	*	ゲン	舷	舷	ゲン	ゲン	漢	舷	ゲン	ゲン	ゲン	*	*	*	*	*	*	1	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
一人	名詞	普通名詞	副詞可能	*	*	*	ヒトリ	一人	一人	ヒトリ	ヒトリ	和	一人	ヒトリ	ヒトリ	ヒトリ	*	*	*	*	*	*	2	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
仲間	名詞	普通名詞	一般	*	*	*	ナカマ	仲間	仲間	ナカマ	ナカマ	和	仲間	ナカマ	ナカマ	ナカマ	*	*	*	*	*	*	3	C2	*
