小さき	形容詞	一般	*	*	文語形容詞-ク	連体形-一般	チイサイ	小さい	小さき	チーサキ	チイサキ	和	小さし	チーサシ	チイサシ	チイサシ	*	*	*	*	*	*	3	C1	*
も	助詞	係助詞	*	*	*	*	モ	も	も	モ	モ	和	も	モ	モ	モ	*	*	*	*	*	*	*	"動詞%F2@-1	形容詞%F4@-2	名詞%F1"	*
私	名詞	普通名詞	サ変可能	*	*	*	ワタクシ	私	私	ワタクシ	ワタクシ	和	私	ワタクシ	ワタクシ	ワタクシ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
古	名詞	普通名詞	一般	*	*	*	イニシエ	古	古	イニシエ	イニシエ	和	古	イニシエ	イニシエ	イニシエ	*	*	*	*	*	*	0	C2	*
臭い	形容詞	一般	*	*	文語形容詞-ク	連体形-イ音便	クサイ	臭い	臭い	クサイ	クサイ	和	臭し	クサシ	クサシ	クサシ	*	*	*	*	*	*	1	C1	*
心持	名詞	普通名詞	副詞可能	*	*	*	ココロモチ	心持ち	心持	ココロモチ	ココロモチ	和	心持	ココロモチ	ココロモチ	ココロモチ	*	*	*	*	*	*	0	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
嗤い	名詞	普通名詞	一般	*	*	*	ワライ	笑い	嗤い	ワライ	ワライ	和	嗤い	ワライ	ワライ	ワライ	*	*	*	*	*	*	0	C2	*
憐れむ	動詞	一般	*	*	文語四段-マ行	連体形-一般	アワレム	哀れむ	憐れむ	アワレム	アワレム	和	憐れむ	アワレム	アワレム	アワレム	*	*	*	*	*	*	3	C1	*
の	助詞	準体助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1"	*
